date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-01-21 10:35:00,8.23,8.22,8.23,8.21,1350.0,1109889.0,8.196,,
2026-01-21 10:36:00,8.22,8.22,8.23,8.21,823.0,676458.0,8.196,,
2026-01-21 10:37:00,8.22,8.21,8.23,8.21,577.0,474190.0,8.196,,
2026-01-21 10:38:00,8.21,8.22,8.23,8.2,3257.0,2674819.0,8.196,,
2026-01-21 10:39:00,8.22,8.22,8.23,8.21,1190.0,977627.0,8.196,,
2026-01-21 10:40:00,8.22,8.23,8.24,8.22,616.0,506689.0,8.197,,
2026-01-21 10:41:00,8.23,8.24,8.24,8.22,1181.0,972337.0,8.197,,
2026-01-21 10:42:00,8.24,8.24,8.24,8.23,449.0,369868.0,8.197,,
2026-01-21 10:43:00,8.24,8.27,8.29,8.24,6104.0,5042906.0,8.198,,
2026-01-21 10:44:00,8.27,8.26,8.28,8.26,1280.0,1057290.0,8.198,,
2026-01-21 10:45:00,8.26,8.27,8.27,8.26,661.0,546490.0,8.198,,
2026-01-21 10:46:00,8.27,8.24,8.27,8.24,2418.0,1995512.0,8.199,,
2026-01-21 10:47:00,8.24,8.24,8.25,8.24,539.0,444325.0,8.199,,
2026-01-21 10:48:00,8.24,8.22,8.24,8.21,3388.0,2785419.0,8.199,,
2026-01-21 10:49:00,8.22,8.21,8.22,8.21,1524.0,1252020.0,8.199,,
2026-01-21 10:50:00,8.21,8.2,8.22,8.2,5084.0,4170932.0,8.199,,
2026-01-21 10:51:00,8.2,8.22,8.22,8.2,2435.0,1998304.0,8.199,,
2026-01-21 10:52:00,8.22,8.22,8.22,8.2,3320.0,2725706.0,8.199,,
2026-01-21 10:53:00,8.22,8.23,8.23,8.22,701.0,576396.0,8.199,,
2026-01-21 10:54:00,8.23,8.22,8.23,8.2,4426.0,3635559.0,8.2,,
2026-01-21 10:55:00,8.22,8.21,8.22,8.21,370.0,303972.0,8.2,,
2026-01-21 10:56:00,8.21,8.23,8.23,8.22,1402.0,1152762.0,8.2,,
2026-01-21 10:57:00,8.23,8.21,8.23,8.21,783.0,643515.0,8.2,,
2026-01-21 10:58:00,8.21,8.22,8.22,8.21,1043.0,856914.0,8.2,,
2026-01-21 10:59:00,8.22,8.22,8.22,8.21,666.0,547407.0,8.2,,
2026-01-21 11:00:00,8.22,8.23,8.23,8.22,550.0,452288.0,8.2,,
2026-01-21 11:01:00,8.23,8.24,8.24,8.23,564.0,464539.0,8.2,,
2026-01-21 11:02:00,8.24,8.22,8.24,8.22,813.0,669057.0,8.2,,
2026-01-21 11:03:00,8.22,8.22,8.24,8.22,1370.0,1125186.0,8.2,,
2026-01-21 11:04:00,8.22,8.22,8.23,8.2,1280.0,1051533.0,8.2,,
2026-01-21 11:05:00,8.22,8.22,8.23,8.22,297.0,244232.0,8.2,,
2026-01-21 11:06:00,8.22,8.23,8.24,8.22,756.0,622079.0,8.2,,
2026-01-21 11:07:00,8.23,8.24,8.24,8.22,1051.0,865144.0,8.2,,
2026-01-21 11:08:00,8.24,8.22,8.24,8.22,344.0,283245.0,8.2,,
2026-01-21 11:09:00,8.22,8.22,8.23,8.22,262.0,215491.0,8.2,,
2026-01-21 11:10:00,8.22,8.22,8.23,8.22,440.0,361995.0,8.2,,
2026-01-21 11:11:00,8.22,8.22,8.24,8.22,405.0,333214.0,8.2,,
2026-01-21 11:12:00,8.22,8.22,8.23,8.22,340.0,279745.0,8.2,,
2026-01-21 11:13:00,8.22,8.23,8.23,8.22,324.0,266601.0,8.2,,
2026-01-21 11:14:00,8.23,8.23,8.24,8.23,1202.0,989327.0,8.2,,
2026-01-21 11:15:00,8.23,8.22,8.23,8.22,4551.0,3736064.0,8.201,,
